refV,strV
1569662395,R00674
1569662604,R00691
1569662620,R00692
1569665972,R00985
1569666871,R01073
1569673731,R01714
1569673743,R01715
1569673899,R01731
1569674469,R01795
1569674747,R01826
1569679611,R02340
1569680410,R02415
1569683539,R02722
1569686840,R03084
1569690983,R03508
1569690997,R03509
1569723258,R07276
1569739954,R09254
1569745409,R09830
1569811427,R00691
1569813421,R02412
1569814411,R01373
1569815414,R01728
1569819077,R00733
1569820983,R01730
1569832204,R00986
1570035116,R03508
1655494551,R00729
1655540109,R00689
2592793043,R00688
2592793096,R00694
2592793561,R00732
2592793582,R00733
2592793603,R00734
2592795611,R00986
2592798615,R01373
2592801266,R01728
2592801285,R01730
2592806459,R02412
2592806474,R02413
2592811906,R03083
2592814750,R03460
2592838539,R06846
2849826602,R00732
2849843795,R00689
